ID,ID_N,NOME,CEG,UF,INIC_OPER,POT_KW,POT_FISC_K,ID_EMPREEN,FASE_USINA,lon,lat,SIGA_CEG_FROM_ID_EMPREENDIMENTO,SIGA_FROM_SIGEL_FIXED,ONS_LISTED,CLUSTER,TRACKER,COMMISSIONING
1_AC III,1,AC III,UFVRSMG037403-2-01,MG,1/7/2023,39496,39496,37403,Operação,-43.80889722,-15.36046944,UFV.RS.MG.037403-2.1,UFV.RS.MG.037403-2.01,UFV AC III,Conj. Sol do Cerrado,1,12/13/2022 0:00
2_AC IV,2,AC IV,UFVRSMG037404-0-01,MG,1/3/2023,39496,39496,37404,Operação,-43.79888611,-15.35932222,UFV.RS.MG.037404-0.1,UFV.RS.MG.037404-0.01,UFV AC IV,Conj. Sol do Cerrado,1,11/19/2022 0:00
3_AC IX,3,AC IX,UFVRSMG037550-0-01,MG,2/15/2023,29622,29622,37550,Operação,-43.78731389,-15.39205278,UFV.RS.MG.037550-0.1,UFV.RS.MG.037550-0.01,UFV AC IX,Conj. Sol do Cerrado,1,12/29/2022 0:00
4_AC V,4,AC V,UFVRSMG037390-7-01,MG,1/3/2023,39496,39496,37390,Operação,-43.79035278,-15.36376389,UFV.RS.MG.037390-7.1,UFV.RS.MG.037390-7.01,UFV AC V,Conj. Sol do Cerrado,1,11/1/2022 0:00
5_AC VI,5,AC VI,UFVRSMG037405-9-01,MG,1/3/2023,39496,39496,37405,Operação,-43.79499444,-15.36711667,UFV.RS.MG.037405-9.1,UFV.RS.MG.037405-9.01,UFV AC VI,Conj. Sol do Cerrado,1,11/1/2022 0:00
6_AC VII,6,AC VII,UFVRSMG037548-9-01,MG,1/3/2023,39496,39496,37548,Operação,-43.78785278,-15.37226667,UFV.RS.MG.037548-9.1,UFV.RS.MG.037548-9.01,UFV AC VII,Conj. Sol do Cerrado,1,10/20/2022 0:00
7_AC VIII,7,AC VIII,UFVRSMG037549-7-01,MG,1/3/2023,39496,39496,37549,Operação,-43.78592778,-15.38061389,UFV.RS.MG.037549-7.1,UFV.RS.MG.037549-7.01,UFV AC VIII,Conj. Sol do Cerrado,1,10/20/2022 0:00
8_AC X,8,AC X,UFVRSMG037551-9-01,MG,3/18/2023,39496,39496,37551,Operação,-43.80338056,-15.39651944,UFV.RS.MG.037551-9.1,UFV.RS.MG.037551-9.01,UFV AC X,Conj. Sol do Cerrado,1,2/14/2023 0:00
9_AC XIX,9,AC XIX,UFVRSMG037630-2-01,MG,6/13/2023,39496,39496,37630,Operação,-43.79130555,-15.40233055,UFV.RS.MG.037630-2.1,UFV.RS.MG.037630-2.01,UFV AC XIX,Conj. Sol do Cerrado,1,5/11/2023 0:00
10_AC XV,10,AC XV,UFVRSMG037626-4-01,MG,3/11/2023,49370,49370,37626,Operação,-43.83066111,-15.39809722,UFV.RS.MG.037626-4.1,UFV.RS.MG.037626-4.01,UFV AC XV,Conj. Sol do Cerrado,1,2/14/2023 0:00
11_AC XVI,11,AC XVI,UFVRSMG037627-2-01,MG,4/20/2023,39496,39496,37627,Operação,-43.80376944,-15.39641667,UFV.RS.MG.037627-2.1,UFV.RS.MG.037627-2.01,UFV AC XVI,Conj. Sol do Cerrado,1,3/8/2023 0:00
12_AC XVII,12,AC XVII,UFVRSMG037628-0-01,MG,6/6/2023,49370,49370,37628,Operação,-43.80489167,-15.40055833,UFV.RS.MG.037628-0.1,UFV.RS.MG.037628-0.01,UFV AC XVII,Conj. Sol do Cerrado,1,5/5/2023 0:00
13_AC XVIII,13,AC XVIII,UFVRSMG037629-9-01,MG,6/13/2023,39496,39496,37629,Operação,-43.79896667,-15.40711944,UFV.RS.MG.037629-9.1,UFV.RS.MG.037629-9.01,UFV AC XVIII,Conj. Sol do Cerrado,1,5/11/2023 0:00
14_AC XX,14,AC XX,UFVRSMG037631-0-01,MG,1/7/2023,39496,39496,37631,Operação,-43.81800833,-15.42549167,UFV.RS.MG.037631-0.1,UFV.RS.MG.037631-0.01,UFV AC XX,Conj. Sol do Cerrado,1,12/13/2022 0:00
15_AC XXI,15,AC XXI,UFVRSMG037632-9-01,MG,7/18/2023,39496,39496,37632,Operação,-43.80366912,-15.42923282,UFV.RS.MG.037632-9.1,UFV.RS.MG.037632-9.01,UFV AC XXI,Conj. Sol do Cerrado,1,6/22/2023 0:00
16_AC XXII,16,AC XXII,UFVRSMG037633-7-01,MG,1/3/2023,39496,39496,37633,Operação,-43.78612778,-15.39840278,UFV.RS.MG.037633-7.1,UFV.RS.MG.037633-7.01,UFV AC XXII,Conj. Sol do Cerrado,1,11/24/2022 0:00
17_AC XXIII,17,AC XXIII,UFVRSMG037634-5-01,MG,4/15/2023,39496,39496,37634,Operação,-43.78753333,-15.41365556,UFV.RS.MG.037634-5.1,UFV.RS.MG.037634-5.01,UFV AC XXIII,Conj. Sol do Cerrado,1,3/8/2023 0:00
18_Alex I,18,Alex I,UFVRSCE035699-9-01,CE,10/30/2021,30933,30933,35699,Operação,-37.96893889,-5.261875,UFV.RS.CE.035699-9.1,UFV.RS.CE.035699-9.01,UFV Alex I,Conj. Alex,1,8/17/2021 0:00
19_Alex III,19,Alex III,UFVRSCE035883-5-01,CE,10/30/2021,30933,30933,35883,Operação,-37.96888333,-5.246869445,UFV.RS.CE.035883-5.1,UFV.RS.CE.035883-5.01,UFV Alex III,Conj. Alex,1,8/17/2021 0:00
20_Alex IV,20,Alex IV,UFVRSCE035884-3-01,CE,10/30/2021,30933,30933,35884,Operação,-37.97305556,-5.260869444,UFV.RS.CE.035884-3.1,UFV.RS.CE.035884-3.01,UFV Alex IV,Conj. Alex,1,8/17/2021 0:00
21_Alex IX,21,Alex IX,UFVRSCE035863-0-01,CE,10/30/2021,30933,30933,35863,Operação,-37.97709167,-5.237911111,UFV.RS.CE.035863-0.1,UFV.RS.CE.035863-0.01,UFV Alex IX,Conj. Alex,1,8/17/2021 0:00
