ID,ID_N,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUAL,EOL_VERSAO,NOME_EOL,DEN_AEG,OPERACAO,UF,CEG,lon,lat,SIGA_CEG_FROM_CORE,SIGA_FROM_SIGEL,CHECK (1 PROBLEM),SIGA_FROM_SIGEL_CHANGED,ONS_LISTED,CLUSTER,SPOW,COMMISSIONING
1_AW Santa Régia,1,4.2,198,125,147,10/30/2023,32194,AW Santa Régia,SR-06,Sim,RN,EOLCVRN032194-0-01,-36.11886425,-5.398120718,EOL.CV.RN.032194-0.1,EOL.CV.RN.032194-0.1,0,EOL.CV.RN.032194-0.01,UEE AW Santa Régia,Conj. Jandaíra III,247,6/6/2023 0:00
2_AW Santa Régia,2,4.2,198,125,147,10/30/2023,32194,AW Santa Régia,SR-09,Sim,RN,EOLCVRN032194-0-01,-36.1243759,-5.405058808,EOL.CV.RN.032194-0.1,EOL.CV.RN.032194-0.1,0,EOL.CV.RN.032194-0.01,UEE AW Santa Régia,Conj. Jandaíra III,247,6/6/2023 0:00
3_AW Santa Régia,3,4.2,198,125,147,10/30/2023,32194,AW Santa Régia,SR-08,Sim,RN,EOLCVRN032194-0-01,-36.12225809,-5.402979694,EOL.CV.RN.032194-0.1,EOL.CV.RN.032194-0.1,0,EOL.CV.RN.032194-0.01,UEE AW Santa Régia,Conj. Jandaíra III,247,6/6/2023 0:00
4_AW Santa Régia,4,4.2,198,125,147,10/30/2023,32194,AW Santa Régia,SR-07,Sim,RN,EOLCVRN032194-0-01,-36.12049334,-5.400595059,EOL.CV.RN.032194-0.1,EOL.CV.RN.032194-0.1,0,EOL.CV.RN.032194-0.01,UEE AW Santa Régia,Conj. Jandaíra III,247,6/6/2023 0:00
5_AW Santa Régia,5,4.2,198,125,147,10/30/2023,32194,AW Santa Régia,SR-05,Sim,RN,EOLCVRN032194-0-01,-36.11724419,-5.395646421,EOL.CV.RN.032194-0.1,EOL.CV.RN.032194-0.1,0,EOL.CV.RN.032194-0.01,UEE AW Santa Régia,Conj. Jandaíra III,247,6/6/2023 0:00
6_AW Santa Régia,6,4.2,198,125,147,10/30/2023,32194,AW Santa Régia,SR-04,Sim,RN,EOLCVRN032194-0-01,-36.11542372,-5.3936139,EOL.CV.RN.032194-0.1,EOL.CV.RN.032194-0.1,0,EOL.CV.RN.032194-0.01,UEE AW Santa Régia,Conj. Jandaíra III,247,6/6/2023 0:00
7_AW Santa Régia,7,4.2,198,125,147,10/30/2023,32194,AW Santa Régia,SR-03,Sim,RN,EOLCVRN032194-0-01,-36.11341399,-5.391571446,EOL.CV.RN.032194-0.1,EOL.CV.RN.032194-0.1,0,EOL.CV.RN.032194-0.01,UEE AW Santa Régia,Conj. Jandaíra III,247,6/6/2023 0:00
8_AW Santa Régia,8,4.2,198,125,147,10/30/2023,32194,AW Santa Régia,SR-02,Sim,RN,EOLCVRN032194-0-01,-36.11172039,-5.389404001,EOL.CV.RN.032194-0.1,EOL.CV.RN.032194-0.1,0,EOL.CV.RN.032194-0.01,UEE AW Santa Régia,Conj. Jandaíra III,247,6/6/2023 0:00
9_AW Santa Régia,9,4.2,198,125,147,10/30/2023,32194,AW Santa Régia,SR-01,Sim,RN,EOLCVRN032194-0-01,-36.11048835,-5.386859275,EOL.CV.RN.032194-0.1,EOL.CV.RN.032194-0.1,0,EOL.CV.RN.032194-0.01,UEE AW Santa Régia,Conj. Jandaíra III,247,6/6/2023 0:00
10_AW São João,10,4.2,198,125,147,7/26/2023,32080,AW São João,SJ-06,Sim,RN,EOLCVRN032080-3-01,-36.11842845,-5.373913347,EOL.CV.RN.032080-3.1,EOL.CV.RN.032080-3.1,0,EOL.CV.RN.032080-3.01,UEE AW São João,Conj. Jandaíra III,247,6/6/2023 0:00
