Cluster,CF
SOL-01,0.296203087
SOL-01,0.296180017
SOL-01,0.294314268
SOL-01,0.294245868
SOL-01,0.294455382
SOL-01,0.29454656
SOL-01,0.294255072
SOL-01,0.294179204
SOL-01,0.294389032
SOL-01,0.294467211
SOL-01,0.294378222
SOL-01,0.294511931
SOL-01,0.296520243
SOL-01,0.296893456
SOL-01,0.296661714
SOL-01,0.297473044
SOL-01,0.297131261
SOL-01,0.296843201
SOL-01,0.296609069
SOL-01,0.296484388
SOL-01,0.296248446
SOL-01,0.295053656
SOL-01,0.295594435
SOL-01,0.296946646
SOL-01,0.297647441
SOL-01,0.296920835
SOL-01,0.296356523
SOL-01,0.295900129
SOL-01,0.295109744
SOL-01,0.294921813
SOL-01,0.295076152
SOL-01,0.295451266
SOL-01,0.296045896
SOL-01,0.296749262
SOL-01,0.297395673
SOL-01,0.296943479
SOL-01,0.295993018
SOL-01,0.29503741
SOL-01,0.295022242
SOL-01,0.295275895
SOL-01,0.295153919
SOL-01,0.295307834
SOL-01,0.295847925
SOL-01,0.2966067
SOL-01,0.297198659
SOL-01,0.294923443
SOL-01,0.295005033
SOL-01,0.29487888
SOL-01,0.295298162
SOL-01,0.295287045
SOL-01,0.295539272
SOL-01,0.296298837
SOL-01,0.296726572
SOL-01,0.296218046
SOL-01,0.295762449
SOL-01,0.295485852
SOL-01,0.295695627
SOL-01,0.295518486
SOL-01,0.295506436
SOL-01,0.295493914
SOL-01,0.294982729
SOL-01,0.29507398
SOL-01,0.295005578
SOL-01,0.295313865
SOL-01,0.293786634
SOL-01,0.295393297
SOL-01,0.296592128
SOL-01,0.297242999
SOL-01,0.297120288
SOL-01,0.296263593
SOL-01,0.296304836
SOL-01,0.296275025
SOL-01,0.296203743
SOL-01,0.295908969
SOL-01,0.297569549
SOL-01,0.295949349
SOL-01,0.295384642
SOL-01,0.296062138
SOL-01,0.296042122
SOL-01,0.294469255
SOL-01,0.294744889
SOL-01,0.295019839
SOL-01,0.295294077
SOL-01,0.295905655
SOL-01,0.297692071
SOL-01,0.298743564
SOL-01,0.298344847
SOL-01,0.294546258
SOL-01,0.294821866
SOL-01,0.295209483
SOL-01,0.295483633
SOL-01,0.295982302
SOL-01,0.297432437
SOL-01,0.298707628
SOL-01,0.297918076
SOL-01,0.295888599
SOL-01,0.294778514
SOL-01,0.29522215
SOL-01,0.295833818
SOL-01,0.297340587
SOL-01,0.298281705
SOL-01,0.297210924
SOL-01,0.294949622
SOL-01,0.294782812
SOL-01,0.296576215
SOL-01,0.297072122
SOL-01,0.296052132
SOL-01,0.296427914
SOL-01,0.296868077
SOL-01,0.295847394
SOL-01,0.295322934
SOL-01,0.295820875
SOL-01,0.294486738
SOL-01,0.293951814
SOL-01,0.294225441
SOL-01,0.295342456
SOL-01,0.295445707
SOL-01,0.294591702
SOL-01,0.293959891
SOL-01,0.293722287
SOL-01,0.293540458
SOL-01,0.294207581
SOL-01,0.294420984
SOL-01,0.29395439
SOL-01,0.294734523
SOL-01,0.294047673
SOL-01,0.293697582
SOL-01,0.293856109
SOL-01,0.293900842
SOL-01,0.294228149
SOL-01,0.294498112
SOL-01,0.293795678
SOL-01,0.293840071
SOL-01,0.294154946
SOL-01,0.293690696
SOL-01,0.294361313
SOL-01,0.294632657
SOL-01,0.294395667
SOL-01,0.29477884
SOL-01,0.29527397
SOL-01,0.294584416
SOL-01,0.294118621
SOL-01,0.294550902
SOL-01,0.294314461
SOL-01,0.294359606
SOL-01,0.294573527
SOL-01,0.294787072
SOL-01,0.294492006
SOL-01,0.294026238
SOL-01,0.294232645
SOL-01,0.293656551
SOL-01,0.29387133
SOL-01,0.293972535
SOL-01,0.293846852
SOL-01,0.294173506
SOL-01,0.293763756
SOL-01,0.293744451
SOL-01,0.294072005
SOL-01,0.295191044
SOL-01,0.295797527
SOL-01,0.293900646
SOL-01,0.294395434
SOL-01,0.295172511
SOL-01,0.296625663
SOL-01,0.297341289
SOL-01,0.29392598
SOL-01,0.294024934
SOL-01,0.294294192
SOL-01,0.294846124
SOL-01,0.29562288
SOL-01,0.296396946
SOL-01,0.296944086
SOL-01,0.297883736
SOL-01,0.298260707
SOL-01,0.293932811
SOL-01,0.294542571
SOL-01,0.295376778
SOL-01,0.296377554
SOL-01,0.297374258
SOL-01,0.298312146
SOL-01,0.298633315
SOL-01,0.298785998
SOL-01,0.294379345
SOL-01,0.295665962
SOL-01,0.296609308
SOL-01,0.296988962
SOL-01,0.297198535
SOL-01,0.297407689
SOL-01,0.293760848
SOL-01,0.294711303
SOL-01,0.294809741
SOL-01,0.295190621
SOL-01,0.295457455
SOL-01,0.297284805
SOL-01,0.296816267
SOL-01,0.295720153
SOL-01,0.295133497
SOL-01,0.295002938
SOL-01,0.29492888
SOL-01,0.298999956
SOL-01,0.298986172
SOL-01,0.29806979
SOL-01,0.297432428
SOL-01,0.297020178
SOL-01,0.296435743
SOL-01,0.296020559
SOL-01,0.295832652
SOL-01,0.295415417
SOL-01,0.299752224
SOL-01,0.300242981
SOL-01,0.300061353
SOL-01,0.299486191
SOL-01,0.298627137
SOL-01,0.297480946
SOL-01,0.297237988
SOL-01,0.297618715
SOL-01,0.298111731
SOL-01,0.297528523
SOL-01,0.300502061
SOL-01,0.300879996
SOL-01,0.300978262
SOL-01,0.300741151
SOL-01,0.299872545
SOL-01,0.298788188
SOL-01,0.298377119
SOL-01,0.298473934
SOL-01,0.298231242
SOL-01,0.299291986
SOL-01,0.300287598
SOL-01,0.300832829
SOL-01,0.301154336
SOL-01,0.301251909
SOL-01,0.301516516
SOL-01,0.300832274
